algoritmo,tipo,tamaño,tiempo_ms,tiempo_ns
ShakerSort,ordenamiento,10000,47.708100,47708100
DualPivotQuickSort,ordenamiento,10000,2.512500,2512500
HeapSort,ordenamiento,10000,3.455700,3455700
MergeSort,ordenamiento,10000,3.447700,3447700
RadixSort,ordenamiento,10000,3.685700,3685700
ShakerSort,ordenamiento,100000,7369.323600,7369323600
DualPivotQuickSort,ordenamiento,100000,25.180400,25180400
HeapSort,ordenamiento,100000,10.221200,10221200
MergeSort,ordenamiento,100000,13.527700,13527700
RadixSort,ordenamiento,100000,6.351100,6351100
DualPivotQuickSort,ordenamiento,1000000,81.500800,81500800
HeapSort,ordenamiento,1000000,119.172200,119172200
MergeSort,ordenamiento,1000000,108.086800,108086800
RadixSort,ordenamiento,1000000,49.490600,49490600
BinarySearch,busqueda,10000,0.000952,952
TernarySearch,busqueda,10000,0.001013,1013
JumpSearch,busqueda,10000,0.001469,1469
BinarySearch,busqueda,100000,0.000157,157
TernarySearch,busqueda,100000,0.000091,91
JumpSearch,busqueda,100000,0.001436,1436
BinarySearch,busqueda,1000000,0.000087,87
TernarySearch,busqueda,1000000,0.000115,115
JumpSearch,busqueda,1000000,0.003347,3347
