algoritmo,tipo,tamaño,tiempo_ms,tiempo_ns,timestamp
Shaker Sort,ordenamiento,10000,7231.716233,7231716233.31,2026-04-07T17:58:42.993509
Dual-Pivot QuickSort,ordenamiento,10000,20.272133,20272133.33,2026-04-07T17:58:43.054681
Heap Sort,ordenamiento,10000,49.744533,49744533.32,2026-04-07T17:58:43.204225
Merge Sort,ordenamiento,10000,48.732133,48732133.31,2026-04-07T17:58:43.350712
Radix Sort,ordenamiento,10000,40.235867,40235866.68,2026-04-07T17:58:43.471720
Shaker Sort,ordenamiento,100000,766452.994100,766452994099.99,2026-04-07T18:11:29.925778
Dual-Pivot QuickSort,ordenamiento,100000,286.795200,286795200.02,2026-04-07T18:11:30.213230
Heap Sort,ordenamiento,100000,696.965800,696965800.02,2026-04-07T18:11:30.910684
Merge Sort,ordenamiento,100000,614.364400,614364400.04,2026-04-07T18:11:31.525930
Radix Sort,ordenamiento,100000,499.294300,499294300.04,2026-04-07T18:11:32.026149
Dual-Pivot QuickSort,ordenamiento,1000000,3866.112100,3866112099.96,2026-04-07T18:11:35.907529
Heap Sort,ordenamiento,1000000,10316.491900,10316491900.01,2026-04-07T18:11:46.237796
Merge Sort,ordenamiento,1000000,8067.979300,8067979300.05,2026-04-07T18:11:54.320396
Radix Sort,ordenamiento,1000000,7094.218500,7094218500.02,2026-04-07T18:12:01.430699
Busqueda Binaria,busqueda,10000,0.003416,3416.42,2026-04-07T18:12:02.009903
Busqueda Ternaria,busqueda,10000,0.003189,3189.46,2026-04-07T18:12:02.047023
Jump Search,busqueda,10000,0.007946,7945.81,2026-04-07T18:12:02.131796
Busqueda Binaria,busqueda,100000,0.003768,3768.50,2026-04-07T18:12:02.191263
Busqueda Ternaria,busqueda,100000,0.004054,4053.50,2026-04-07T18:12:02.197001
Jump Search,busqueda,100000,0.031599,31599.30,2026-04-07T18:12:02.231202
Busqueda Binaria,busqueda,1000000,0.004467,4466.60,2026-04-07T18:12:03.122768
Busqueda Ternaria,busqueda,1000000,0.004606,4606.40,2026-04-07T18:12:03.159533
Jump Search,busqueda,1000000,0.075388,75387.70,2026-04-07T18:12:03.262881
